english,khasi
My dog is obedient.,U ksew jong nga u ngeit sneng.
When is school over?,Katno baje wai skul?
Help!,Iarap!
Tom was kneeling.,U Tom u dang demkhohsiew.
Go.,Leit.
I'm losing business.,Nga dang duhnong.
Stand up!,Ieng joit!
Why did you try to run away?,Balei phi mut ban phet?
"It's your money, isn't it?","Ka dei ka pisa jongphi, dei?"
Stay.,Sah.
Come in.,Rung.
I didn't give Tom anything.,Nga khlem ai eiei ia u Tom.
Wake up!,Khie!
Don't you want to know?,Mem kwah ban tip?
What's your name?,Phi kyrteng aiu?
Stand aside.,Shuh nangne.
Do you remember where Tom left his umbrella?,Pha kynmaw haei u Tom u buh ka shatri?
Shut up!,Nai balaiñ!
We're going to the market.,Ngi leit sha iew.
You shouldn't believe everything Tom says.,Mem dei ban ngeit lut kat kaba u Tom u ong.
I came because of something you wrote.,Nga wan namar me thoh aiu re.
What are those numbers?,Kiei kito ki nombar?
She looked at me.,Ka peit ianga.
I don't know what I want to do.,Ngam tip nga kwah ban leh aiu.
I think that Tom could help.,Nga tharai u Tom u lah ban ïarap.
"Hey, relax.","Ei, jaijai."
I didn't pick it up.,Nga khlem tam.
Hurry up.,Wut wut.
You must keep quiet.,Phi dei ban sngapjar.
Children need loving.,Ki khynnah ki donkam jingieid.
Tom thinks that you can take care of yourself.,U Tom u mut ba phi lah ban sumar hi ia lade.
Don't make me stand here.,Wat pynap ianga hangne.
"You agree with Tom, right?","Phi ia mynjur bad u Tom, dei?"
We should give this a try.,Ngi dei ban pyrshang ia kane.
I would like you to sing a song.,Nga kwah iaphi ba phin rwai kawei ka jingrwai.
What is your name?,Kyrteng kumno maphi?
You look hurt.,Pha u kumba pha pang.
The student refused to obey his teacher.,U khynnah u kyntait ban ngeit ia i nonghikai.
Do you speak English?,Phi kren phareng?
Wake up!,Khie joit!
Don't make me stand here.,Wat pynieng ianga hangne.
I know that Tom would allow us to do that.,Nga tip ba u Tom un shah ianga ba ngin leh.
Stop reading.,Sangeh ka pule.
Why do you need a new television?,Balei phi donkam TV ba thymmai?
Choose one.,Jied iwei.
This is difficult.,Ka jynjar kane.
This is difficult.,Kane ka eh.
Wash your hands.,Sait ki kti.
Be cool.,Long jaijai
Hurry up.,Wut.
Not everything Tom said was true.,Ym baroh ba u Tom u ong dei ba shisha.
Tell me a true story.,Iathuh ianga kawei ka khana ba shisha.
"If they were Canadians, this problem wouldn't exist.","Lada ki dei ki nong-Canada, kane ka jingeh kan nyn don."
I didn't pick it up.,Nga khlem khar.
Tom wants everybody to like him.,U Tom u kwah ia baroh ba kin sngewtynnad ia u.
Tom is going to Australia to live with his father.,U Tom u leit sha Australia ban sah bad u kpa jong u.
Choose one.,Jied uwei.
Come here.,Wan shane.
Can you give me some time?,Long phin ai por ianga khyndiat?
"I should visit Australia, too.",Nga ruh dei ban leit jngohkai ia ka Australia.
I need to put the children to bed.,Nga hap ban pynthiah ia ki khun.
Take care.,Da sumar bha.
You shouldn't believe everything Tom says.,Phim dei ban ngeit lut kat kaba u Tom u ong.
Tom said Mary wasn't happy.,U Tom u ong ba ka Mary kam kmen.
Tom is a friend of a friend of mine.,U Tom u dei u paralok jong u paralok jong nga.
The student refused to obey his teacher.,U khynnah u saitlah ban ngeit iau nonghikai.
It took me by surprise.,Ka pynlyngngoh ianga.
I know this is hard for you to understand.,Nga tip ba ka jynjar iaphi ba phin sngewthuh.
Tom might go to Boston next fall.,U Tom u lah ban leit sha Boston ha kane ka synrai ban sa wan.
"January, February, March, April, May, June, July, August, September, October, November and December are the twelve months of the year.","Kyllalynkot, Rymphang, Lber, Iaiong, Jymmang, Jylliew, Naitung, Nailar, Nailur, Risaw, Naiwieng bad Nohprah kidei ki khat-ar tylli ki bnai jong u snem."
Where's the fitting room?,Hangno jaka kylliang jaiñ?
I'm sorry.,Map.
We've got something.,Ngi don kaei-re-kaei.
You can't escape from me.,Phin ym lah ban lait nanga.
Tom lives alone with his dog.,U Tom u sah marwei bad u ksew jong u.
I detest hypocrisy.,Nga isih ia ka jingarsap.
It is very cold today.,Ka khriat bha mynta ka sngi.
I know how busy you are.,Nga tip ba pha bunkam.
He runs.,U mareh.
Tom has already spent all the money that I gave him.,U Tom u lah da pynlut baroh ka pisa ba nga ai ia u.
Please get out of the kitchen.,Sngewbha mih na kamrashet.
I've been expecting something like this to happen for a long time.,Nga lah ap ia kum kane ba kan jia la slem.
I'm here to stay.,Nga don hangne ban sah.
Pack your bags.,Lum ki pla.
I don't want to know anything about that.,Ngam kwah tip eiei shaphang kata.
Aren't you going to give me a kiss?,Phin nym doh ianga?
Tom lay face down on the blanket.,U Tom u dem pyllup ha ka blanket.
Tom stepped on some broken glass.,U Tom u iuh ha ki iit ba lah pait.
I feel like going to Boston again.,Nga sngew kwah leit biang sha Boston.
Can I have a minute?,Long phin ap khyndiat?
She teased him.,Ka pynshrai ia u.
Nuclear weapons are a threat to the human race.,Ki tiarthma nuclear ki long ka jingma ia ka jaitbynriew.
I don't think I've ever seen Tom here before.,Ngam tharai re ba nga lah ïohi ia u Tom hangne mynno mynno.
Tom hasn't been swimming in a long time.,Lah slem u Tom um pat jngi.
Pick it up.,Khar.
I don't want to go to school.,Ngam kwah ban leit skul.
Leave now.,Mih mynta.
Come quickly.,Ale wut.
Study hard.,Minot tyngeh.
Not everything Tom said was true.,Ym baroh ba ong u Tom dei ba shisha.
Who runs the fastest of the three?,Mano ba stet tam naki lai ngut?
Tom was the one who cooked breakfast.,U dei u Tom uba shet ja step.
Pack your bags.,Song ki tiar.
Ghosts exist.,Ki rngai ki don.
Are you deaf?,Pha kyllut?
Tom still hasn't told me why he doesn't want to do that.,U Tom um pat iathuh ianga balei um kwah ban leh.
Stand aside.,Shuh.
Look behind you.,Peit shadien jong me.
That hurts.,Ka pang.
Wow!,Ani!
Is there a tennis court around here?,Don tennis court hangne?
I know this is hard for you to understand.,Nga tip ba ka jynjar iapha ba phan sngewthuh.
There's one more.,Don sa uwei.
You can't escape from me.,Phin nym lah ban lait nanga.
What is the name of this river?,Aiu ka kyrteng kane ka wah?
It's refreshing.,Ka pyngngad.
I don't believe anyone anymore.,Ngam ngeit shuh iano-iano.
Step into the light.,�eng ha ka jingshai.
You may do what you wish.,Phi lah ban leh katba phi mon.
How are you?,Kumno phi long?
Tom isn't going to do it again.,U Tom um leh shuh.
What did you like the most about your previous job?,Kaei kaba phi sngewtynnad tam shaphang ka kam ba hashwa jong phi?
Tom wasn't very motivated to do that.,U Tom um shem la ioh mynsiem ban leh ia kato.
See you tomorrow.,Sa iapeit lashai.
I'm sure you're very busy.,Nga thikna phi bunkam bha.
I'm so sleepy.,Nga sngew shoh samthiah bha.
I think I may know where to find Tom.,Nga tharai nga tip shaei ban wad i'u Tom.
Tom and I both want to go to Boston.,U Tom bad nga ngi kwan ban ia leit sha Boston.
I think I may know where to find Tom.,Nga tharai nga tip hangno ban wad i'u Tom
You could do that by phone.,Me lah ban leh na phone.
Get up.,Khie joit.
Why did you buy this horse?,Balei phi thied ia une u kulai?
I know Tom is a new student.,Nga tip ba u Tom u dei u khynnah pule ba thymmai.
Tom didn't tell anyone he wanted to do that.,U Tom u khlem iathuh iano iano ba u kwah ban leh ia kata.
What is your name?,Kyrteng aiu phi?
He can't stop him.,Um lah ban pynsangeh ia u.
It needs washing.,Ka donkam ban sait.
Who cares?,Mat dep shato.
Where would you like to go?,Shaei pha kwah ban leit?
How long did it take Tom to read this book?,Ka shim por katno ia u Tom ba un pule kane ka kot?
Would you mind calling Tom for me?,Long phin khot ia u Tom?
She looks very happy.,I i kmen bha.
Tom can speak French better than you.,U Tom u kham nang ban kren French ban ia phi.
"You agree with Tom, don't you?","Phi ia mynjur bad u Tom, dei?"
"If I were going to tell anybody, I'd tell you first.","Lada dei ba nga ïathuh ïano-ïano, ngan ïathuh shuwa ha phi."
"You really do ask a lot of questions, don't you?","Phi kylli bun jingkylli bha, hato kam dei?"
Keep reading.,�ai pule.
My car's in the garage.,Ka kali jong nga ka don ha sem kali.
It took Tom several hours to assemble a bunk bed that the instructions said would take less than an hour to assemble.,Ka shim i'u Tom katto-katne kynta ban pyndait ia ka jingthiah ba ki jingbatai ki ong ba kan shim shikynta duna ban pyndait.
Please try one.,Sngewbha pyrshang uwei.
Are you sure?,Lah thikna?
Leave it.,Iehnoh.
"Tom knows about this, doesn't he?","U Tom u tip shaphang kane, hato um tip re?"
Can I please use your restroom?,Long ngan pyndonkam ïa ka paiñkhana jong phi?
You should use a deodorant.,Phi dei ban pyndonkam deo.
Who's hungry?,Mano ba thngan?
I know that Tom is a Canadian citizen.,Nga tip ba u Tom u dei nong Canada.
How did you know what Tom needed to do?,Kumno me tip u Tom u donkam ban leh aiu?
It's too late to try that.,Ka lah dier ban leh iakata.
Tom didn't take the kids to school today.,U Tom u khlem ialam ia ki khynnah sha skul mynta ka sngi.
Look there.,Peit shatei.
Stay down!,Dem!
I know you have it with you.,Nga tip phi don maphi kato.
More research is needed.,Dang donkam shuh ban wad shaphang kane.
You're welcome.,Ym lei lei.
She cried.,Ka ïam.
Tom probably tried it.,U Tom u lah pyrshang tharai.
My dog is obedient.,U ksew jong nga u long uba ngeit sneng.
These are pens.,Kine ki dei ki khulom.
What happened?,Jia aiu?
I have nothing to tell you about it.,Ngam don eiei ban ïathuh ïa pha.
Listen carefully.,Sngap bha.
I remember that.,Nga kynmaw ia kato.
Watch the road.,Da peit ka surok.
I need to put the children to bed.,Nga hap ban pynïohthiah ia ki khun.
What languages do you know?,Kiei ki ktien ba phi nang?
Hurry up.,Kloi kloi.
I wish you'd quit throwing things at me.,Nga kwah ba phin sangeh pashat tiar ha nga.
How beautiful!,Jingbhabriew!
Will you go out tomorrow?,Phin mih lashai?
Tom has lots of friends in Australia.,U Tom u don bun ki paralok ha Australia.
Be still.,Shong khop.
Of course.,Haoid kein.
Why did you stop studying French?,Balei me sangeh pule French?
Tom put on his sunglasses.,U Tom u deng ka iitkhmat jongu.
Speak softly.,Kren jem.
I was hoping Tom would want to do that.,Nga dang kyrmen ba u Tom un kwah ban leh.
I just got up.,Nga dang shu khie.
I don't think Tom knows that I'm not single anymore.,Ngam tharai ba u Tom u tip ba ngam marwei shuh.
Be still.,�eng khop.
Why were you laughing?,Balei rkhie?
Answer me.,Jubab ianga.
Only Tom would know that.,Tang u Tom un tip.
How long did it take Tom to read this book?,Ka bam por katno ia u Tom ba un pule kane ka kot?
He was awfully skinny.,U lah shu raikhoh.
How many nights will you be staying?,Katno miet phin sah?
We need to do that while we still can.,Ngi hap ban leh katba ngi dang lah ban leh.
You can't escape from me.,Men ym lah ban phet nanga.
We agree.,Ngi mynjur.
Tom has already taught me how to do that.,U Tom u lah dep lypa ban hikai ianga ban leh kato.
Leave me.,Iehnoh ianga.
Tom has already decided he isn't going to try to fix that.,U Tom u lah kut jingmut lypa ba un ym pyrshang ban pynbha ia kato.
Stuff happens.,Shait long.
Tom locked himself in his room and closed all the windows.,U Tom u khangkut ialade ha kamra bad u khang lut ki jingkhangïit.
Is your school far away from your house?,ka skul jongphi ka jngai na ka iing jongphi?
I bought the least expensive pair of shoes in the store.,Nga thied ia ki juti kiba duna dor tam ha dukan.
Hello!,Ei!
The toilet is upstairs.,Ka painkhana ka don hajrong.
"Louder, please.","Kham eh, sngewbha."
Why didn't you ever tell me that?,Balei mem ju iathuh ianga shaphang kata?
They won't permit you to do that here.,Kin ym shah iaphi ba phin leh kumto hangne.
I got Tom to lend me some money.,Nga la ïoh pisa kylliang na i Tom.
Attack!,Ther!
Tom has found out Mary can't read.,U Tom u lap ba ka Mary kam nang pule.
Catch him.,Bat ia u.
I'll kick your butt!,Ngan kynjat jingshong jongphi.
My car is parked over there.,Nga park ia ka kali hangtei.
You could do that by phone.,Phi lah ban lah na phone.
What were you doing at that time?,Me leh aiu katto baje?
Back off.,Shadien.
When is your birthday?,Lano sngikha jongphi?
About how many days will you be in Boston?,Kumba katno sngi phan don ha Boston?
Hurry!,Pynstet!
"Tom tried to kiss Mary, but she leaned back.","U Tom u pyrshang ban doh iaka Mary, hynrei ka ran dien."
Stop meddling.,Wat pyndik.
I didn't give Tom anything.,Ngam shem ai eiei ia u Tom.
This is the place where the incident happened.,Kane ka dei kata ka jaka kaba kata ka jingjia ka la jia.
Have you washed your hands yet?,Phi lah sait ki kti?
Come quick!,Wan kloi!
Tom didn't want to go there alone.,U Tom um kwah ban leit shatai marwei.
Are you deaf?,Me kyllut?
Do you remember where Tom left his umbrella?,Phi kynmaw haei u Tom u buh ka shatri?
Shut up!,Wat balaiñ!
The policeman captured the man who was running.,U pulit u la ioh ken ia u briew uba mareh.
Do you know who Tom's mother is?,Phi tip i kmie u Tom dei mano?
Tom thinks that you can take care of yourself.,I Tom i pyrkhat ba phi lah ban sumar ia lade.
Please cover yourself.,Sngewbha tap ialade.
I'll get him to carry this box upstairs.,Ngan sa phah rah ha u ia kane ka synduk shajrong.
What else is there?,Sa kaei don hangto?
Wash your face.,Bta ka khmat.
Who's your favorite Disney character?,Iei i Disney character ba best tam maphi?
I denied that I was the one who wrote that letter.,Nga len ba nga dei uba thoh ia kato ka shithi.
Tom thinks that you can take care of yourself.,I Tom i pyrkhat ba phi lah ban sumar da lade ia lade.
What if Tom is still alive?,Kumno lada u Tom u dang im?
Why did you tear the cloth instead of cutting it with scissors?,Balei me tar iaka jaiñ haka jaka ban khap ia ka da ka khanshi?
What are those called?,Khot aiu ia kito?
They exchanged hellos.,Ki iakylliang jingaikhublei.
Get lost.,Shatai.
Wait.,Ap.
Tom and Mary want to go to Boston together.,U Tom bad Ka Mary ki ia kwah leit lang sha Boston.
Hi.,Ei.
Tom didn't do anything wrong.,U Tom u khlem leh bakla eiei.
Watch the road.,Da peit ka lynti.
Tom is yellow.,U Tom u long uba tiengeit.
God exists.,U Blei u don.
Did you have a good sleep?,Phi iohthiah bha?
I'm too busy to talk to you now.,Nga dang bunkam palat ban kren iaphi mynta.
Where do you live?,Haei phi sah?
Where did you see that?,Naei phi iohi ia kato?
I don't dare tell him such a thing.,Ngam nud iathuh ia u kata.
"Tom tried to restart the car, but couldn't.",U Tom u lah pyrshang ban sdang biang ia ka kali hynrei um leh.
You run.,Phi mareh.
I don't know.,Ngam tip.
I hope you get a chance to come to Australia.,Nga kyrmen ba phin ioh lad ban wan sha Australia.
Tom couldn't go to Boston with us because he didn't have enough money.,U Tom um shem lah ban leit sha Boston bad ngi namar ba um shem dap pisa.
You're not the only one who's hungry.,Mem dei tang mame ba thngan.
They're looking for Tom in Australia.,Ki ia wad ia u Tom sha Australia.
Stay.,Shong.
Bears can climb trees.,Ki dngiem ki lah ban kiew dieng.
How does that song go?,Ka long kumno kumto kato ka jingrwai?
What are we waiting for?,Ngi ap ia kaei?
It's hot today.,Ka shit mynta.
Sign here.,Soi hangne.
You're dishonest.,Phi thok.
This is the first time that Tom has ever complained about the food.,Kane ka dei ka sien kaba nyngkong ba u Tom u la thlia shaphang ka jingbam.
Jump.,Ryngkoh.
You seem to be waiting for someone.,Me i kumba me ap iano iano.
We'll fail.,Ngin sa ia rem.
Which is the newest one?,Uno uba thymmai tam?
Metal contracts when cooled.,Ka nar ka ran ynda lah pjah.
Hello.,Kumno.
Does anybody hear me?,Don ba iohsngew ianga?
"Louder, please.","Kham jam, sngewbha."
Do you know how to use chopsticks?,Phi nang ban pyndonkam ia ki chopsticks?
I did that the way Tom suggested.,Nga leh kumba bthah u Tom.
You're just not the person I thought you were.,Mem dei u briew uba nga mut ba me dei.
I'm going to drive you home.,Ngan leit on iaphi sha ïing.
Where do they do that?,Haei ki shait leh kata?
I have two cats.,Nga don artylli ki miaw.
The stars came out.,Ki khlur ki mih.
You're not the only one who's hungry.,Phim dei tang maphi ba thngan?
Cows give milk.,Ki masi ki ai dud.
Beats me.,Tip.
Calm down.,Jaijai.
My shoes are brown.,Ki juti nga ki brown.
Tom went on a picnic with Mary and her family.,U Tom u leit bamkhana lem bad ka Mary bad ku bahaïing jongka.
Tom knew he had hurt Mary.,U Tom u tip ba u la pynmong ia ka Mary.
I know we can take care of ourselves if we try.,Nga tip ngi lah ban sumar hi ialade lada ngi pyrshang.
I don't think Tom knows much about his neighbors.,Ngam tharai u Tom u bna bha shaphang ki paramarjan jong u.
I know.,Nga tip.
I don't like this paper. It's too shiny.,Ngam sngewtynnad iakane ka kot. Ka phyrnai palat.
Come home.,Wan sha ïing.
Sushi is delicious.,U sushi u bang.
We often eat fish raw in Japan.,Bunsien ha Japan ngi bam im ia ka dohkha.
The other day I ran out of gas in the middle of a busy Interstate.,Kato ka sngi nga lut umphniang ha pdeng kawei ka khap jylla.
Tom isn't sure that Mary knows she has to do that.,U Tom um thikna ba ka Mary ka tip ba ka hap leh ia kato.
"Tom is Mary's cousin, isn't he?","U Tom u dei u hymmen-arkmie jong ka Mary, dei?"
He showed us how to ride a horse.,U pyni iangi kumno ban ñiah kulai.
I don't believe they would do that.,Ngam ngeit ba kin ia leh kumta.
Tom knew he was supposed to do that yesterday.,U Tom u tip ba u dei ban leh ia kato mynnin.
What're you saying?,Phi ong aiu?
I doubt that Tom will ever learn how to speak French properly.,Nga artatien ba u Tom un nang ba un kren bha ia ka French lano lano ruh.
I didn't want to do it.,Nga khlem kwah ban leh.
The river overflowed.,Ka wah ka lah shlei.
Stay there.,Shong hangto.
This is difficult.,Ka eh kane.
I can't believe that you did all this without any help.,Ngam lah ban ngeit ba phi leh ia kane baroh khlem jingïarap.
Work slowly.,Trei suki.
I'm proud that my father is a good cook.,Nga sarong ba i pa jongnga i long i ongshet iba triem.
Tom is going to hurt you.,U Tom un pynmong ia pha.
I'll see you at home.,Ngan sa iakynduh ia pha ha ïng.
My guess is that Tom isn't going to want that.,Nga tharai u Tom un nym kwah ia kato.
My house is very cold.,Ka ïng jongnga ka khriat bha.
Tom's phone rang.,Ka phone u Tom ka pah.
I can't decide which route to take to Boston.,Ngam lah rai da kano ka lad ban leit sha Boston.
You look hurt.,Me i kumba me pang.
Don't worry.,Wat khuslai.
I don't think Tom would let you win.,Ngam tharai u Tom un ai lad ïaphi ban jop.
These pants don't fit me.,Kine ki patlun kim ñiam ianga.
Tom had to pay a fine because he parked in the wrong place.,U Tom u hap ban siew ka kuna namar ba u pynieng kali ha bymdei.
We know.,Ngi tip.
Tom asked me a lot of questions that I couldn't answer.,U Tom u kylli ianga bun ki jingkylli kiba ngam lah jubab.
You can't escape from me.,Phin ym lah ban phet nanga.
Why didn't you ever tell me that?,Balei pham ju iathuh ianga shaphang kata?
I want to fight.,Nga kwah ban iashoh.
Tom knew he was supposed to do that yesterday.,U Tom u tip ba u dei ban leh ia kata mynnin.
When's dinner?,Lano ka bammiet?
There were many of us who opposed that.,Ki don bun na ngi kiba pyrshah ia ka.
Tom wants everybody to like him.,U Tom u kwah ba baroh kin sngewtynnad ia u.
You didn't break it.,Phi khlem pynpait iaka.
I put my gloves on inside out by mistake.,Nga phong bakla da lyndet ia ki gloves.
Listen.,Sngap.
I could hardly stand.,Ngam lah tang ban ïeng ruh.
It didn't go well.,Ka khlem iaid bha.
Tom knew that Mary didn't need to do that.,U Tom u tip ba ka Mary ka khlem leh.
Please hurry.,Sngewbha pynstet.
Where are you?,Shano phi don?
What would you like me to call you?,Phi kwah ianga ba ngan khot kumno iaphi?
You can't escape from me.,Phin nym lah ban phet nanga.
Tennis is difficult. I never know which way the ball is going to fly.,Ka tennis ka jynjar. Ngam lah tip shaei ka ball kan her.
My name's Tom.,Nga kyrteng Tom.
Tom has already arrived in Australia.,U Tom u lah da poi ha Australia.
My battery is about to die.,Nga lah jan lut u battery.
Is it true you bit Tom?,Dei shisha me dait ia u Tom?
I thank you.,Nga khublei iaphi.
Do you know who Tom's mother is?,Phi tip mano ba dei kmie u Tom?
Keep it.,Buh.
Look behind you.,Peit hadien jong phi.
Where's the director?,Shaei u director?
The situation is worse than we believed.,Ka jinglong ka kham sniew ban ia kaba ngi ngeit.
Tom's own father killed him.,U kpa jong u Tom hi u pyniap ia u.
Tom didn't tell anyone that he wanted to do that.,U Tom u khlem iathuh iano iano ba u kwah ban leh ia kato.
I know this is hard for you to understand.,Nga tip ba ka jynjar iame ba men sngewthuh.
Please write that down for me.,Thoh lem seh.
Tom just saved my life.,U Tom u pynlait im ianga.
I'm just asking.,Nga shu kylli.
Tom and Mary are outside.,U Tom bad Ka Mary ki don shabar.
Please leave.,Sngewbha mih.
I got Tom to lend me some money.,Nga la ïoh pisa kylliang na u Tom.
Do you really not want me here?,Phim kwah shisha ba ngan don hangne?
Please try one.,Sngewbha pyrshang iwei.
Give me the keys.,Ai u shabi ianga.
Why do you need a comb if you're bald?,Balei phi donkam ïa ka snat haba phi syllen?
Are these your shoes?,Kine kidei ki juti jongme?
Where is the toilet?,Shano ka painkhana?
I'm going to Tom's office.,Ngan leit sha office u Tom.
You can go if you want to.,Pha lah ban ia leit lada pha ia kwah.
Stop filming.,Wat ring.
Prepare yourself.,Pynkhreh ialade.
Please don't tell us what to do.,Sngewbha wat ïathuh ïangi kaei ba dei ban leh.
How lovely!,Jingitynnad!
Why are you all shocked?,Balei phi ia lyngngoh?
Look behind you.,Peit hadien jong pha.
You might get fired if you do that the way Tom told you to.,Phi lah ban shah behkam lada phi leh kumba bthah u Tom iaphi.
Wash your hands.,Thet ki kti.
Will you guys please stop fighting?,Phin ia sngewbha sangeh iashoh.
Ask a teacher.,Kylli na nonghikai.
I wish you'd quit throwing things at me.,Nga kwah ba phin sangeh kawang tiar ha nga.
It took me by surprise.,Ka pynkyndit ia nga.
You're dishonest.,Pha thok.
Why were you laughing?,Balei phi ïa rkhie?
I just want to forget about it.,Nga kwah klet noh shaphang kato.
They're looking for Tom in Australia.,Ki ia wad ia u Tom ha Australia.
I thought that you weren't supposed to be helping Tom.,Nga mut ba phim dei ban iarap ia u Tom.
My mother used to read me stories when I was a young kid.,I mei jong nga i shait iathuh khana ianga mynba nga dang khynnah.
Ladies first.,Kynthei shwa.
Tom is the only guy I know from Boston.,Nga ithuh tang ia u Tom na Boston.
Tom isn't going to buy that car.,U Tom un ym thied ia kato ka kali.
You can tell me tomorrow.,Phi lah ban iathuh ia nga lashai.
I may have put the key somewhere in this room.,Nga buh ia u shabi haei re haei hangne ka kamra.
Pardon me?,Kaei?
Tom is the strongest.,U Tom u long u ba khlaiñ tam.
He wouldn't hurt a fly.,U dei u ba jemnud.
Come here.,Ale shane.
Pull yourself together!,Pyneh ialade!
There's one more.,Don sa iwei.
We've been to Australia many times.,Ngi lah poi sha Australia bunsien.
You didn't protect me.,Phi khlem iada ianga.
I hope you get a chance to come to Australia.,Donbok ba phin ioh lad ban wan sha Australia.
Hurry!,Dabaw!
You guys have too much time on your hands.,Phi sia phi ia pahuh por shibun.
Tom said I shouldn't tell Mary about the accident.,U Tom u ong ba ngam dei ban iathuh ia ka Mary shaphang ka jingjia.
Tom was the first one to volunteer to help us.,U Tom u dei u ba nyngkong ban iarap iangi.
I'm not usually picky about food.,Ngam jied bam.
A lot of people drowned when the ship sank.,Bun ngut ki briew ki la ngam jyllop por ba ngam ka jhat.
Read this first.,Iakane shuwa pule.
Tom said he knew Mary.,I Tom i ong ba i ithuh ia i Mary.
Goodbye!,Lah leit mo!
I didn't mean to stare.,Nga khlem mut ban peitseh.
I don't think you need to tell Tom why you went Australia.,Ngam tharai phi donkam ban iathuh ia u Tom balei phi leit sha Australia.
Sit tight.,Shong khop.
Tom can't do it alone.,U Tom um lah ban leh marwei.
Tom will be here with me.,U Tom un sa don hangne bad nga.
Why did you try to run away?,Balei phi pyrshang ban phet?
Please relax.,Sngewbha jaijai.
What was the first capital of Portugal?,Kaei kaba ju dei ka nongbah jong ka Portugal?
Tom was the first one to get here today.,U Tom u long uba nyngkong ban poi hangne mynta ka sngi.
Who?,Mano?
How soon will the next bus be here?,Lano kan poi ka bus hangne?
What do you want?,Kaei phi kwah?
Tom must've been very disappointed.,U Tom u lah dei ban sngewsih bha.
Eat everything.,Bam barohkhoit.
Cows eat grass.,Ki masi ki bam phlang.
A mother rabbit keeps her babies warm with her own body.,Ka kmie rabbit ka pynsyaid ia ki khunkhun lyngba ka jingsyaid ka met jong ka.
Tom cooked.,U Tom u shet.
I was hoping Tom would want to do that.,Nga dang pyrkhat ba u Tom un kwah ban leh.
These pants don't fit me.,Kane ka patlun kam ñiam ianga.
They were shocked.,Ki la kyndit.
I've been to Boston numerous times.,Nga lah leit sha Boston katto katne sien.
Hurry!,Kloi!
I'm very proud of our students.,Nga sngewsarong shibun ïa la ki jong ki khynnah.
Tom is the one who taught me how to play tennis.,U dei u Tom uba pynhikai ianga kumno ban lehkai Tennis.
Who are you?,Phi dei iei?
Where's the fitting room?,Haei jaka kylliang jaiñ?
I love this restaurant.,Nga sngewtynnad ia kane ka restaurant.
Goodbye!,Sa leit ho!
I'll see you at home.,Ngan sa iakynduh iame ha ïng.
Let me off here.,Sangeh hakhmat.
It's pretty.,Tynnad.
Tom is way too young to be doing this.,U Tom u dang rit palat ban leh iakane.
It's still breathing.,Ka dang ring mynsiem.
You're dishonest.,Me sla.
How did you get down here?,Kumno phi poi shane sha poh?
Tom thinks that you can take care of yourself.,U Tom u pyrkhat ba phi lah ban sumar ia lade.
How are we going to do that?,Kumno ngin leh iakata?
Try again.,Pyrshang biang.
"If possible, I'd like to read more about the issue.","Lada long, ngan sngewtynnad eh ban pule shuh shuh shaphang kane ka kam."
Why are you late?,Balei phi slem?
I need this.,Nga donkam ia kane.
You can't escape from me.,Phim lah ban phet nanga.
Shoot!,Siat!
The toilet is upstairs.,Ka painkhana ka don shalor.
I was jealous of you.,Nga bishni iaphi.
How do people like you get to be people like you?,Kumno sa don ki jaid briew kum maphi?
Where are you?,Hangno phi don?
He entered the bank disguised as a guard.,U rung ha bank da kaba riam kum u nongap.
I could never fool you.,Ngam lah thok ïapha.
Tom wasn't able to figure out how to get the box open.,U Tom u khlem lah kumno ban plie ia ka synduk.
You're the biggest.,Phi long uba heh tam.
You might get fired if you do that the way Tom told you to.,Pha lah ban shah behkam lada pha leh kumba bthah u Tom iapha.
I didn't take part in that.,Nga khlem shim bynta ha kato.
The captain was the last person to leave the sinking ship.,U Kapten udei uba khatduh ban mih na ka Jhat ba ngam.
Don't you want to stop Tom?,Phim kwah pynsangeh ia u Tom?
Speak clearly.,Kren bha.
Are these your shoes?,Ki juti jongme kine?
Everybody knows me.,Baroh ki ithuh ianga.
We will clarify what is true and what is false.,Ngin sa pynshai kaei kaba dei bad kaei kaba lait.
Who runs the fastest of the three?,Mano ba mareh stet tam na ki lai ngut?
I don't think we're ready to leave yet.,Ngam tharai ba ngi la long pynkhreh ban ia mih noh.
Who else do you miss?,Iano patde phi kynjah?
Where is the taxi stand?,Haei jaka ïeng taxi?
We're really touched.,Ka la ktah shisha ïangi.
I extended my holiday.,Nga lah pynjrong iaka shuti.
He is one of the greatest scientists in the world.,U dei uwei na ki scientist kiba khraw tam ha pyrthei.
I've brought you a gift.,Nga la wanrah jingaisngewbha ia phi.
Tom told Mary that he didn't know how to play the saxophone.,U Tom u iathuh ia ka Mary ba um nang ban put saxophone.
You have no idea what you're talking about.,Pham tip ia kaei kaba pha kren.
Tom did the work himself.,U Tom u leh hi ïa ka kam.
She left the company after 20 years.,Ka la mih na ka company hadien 20 snem.
Tom has no idea what he's doing.,U Tom um tip eiei u leh aiu.
I thought that you weren't supposed to be helping Tom.,Nga pyrkhat ba phim dei ban iarap ia u Tom.
Tom soon caught up with Mary.,Sa shiphang u Tom u lap ia ka Mary.
Please hurry.,Sngewbha kloi.
How nice!,Jingsngewtynnad!
You don't have to go to school tomorrow.,Phim donkam ban leit skul lashai.
I understand why you're angry.,Nga sngewthuh balei phi dom.
What were you doing at that time?,Phi leh aiu ha kato ka por?
